Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
1.238705,1.096627,1.096626957,0.718354835,0.2812867,0.2812867,0.328927,0.150549,0.1519911,0.2894373,0.242788,0.1437634,0.1793282,0.09014368,0.1092088
1.33779,1.096627,1.096626957,0.718354835,0.2859035,0.2859035,0.3345062,0.150549,0.1519911,0.2894373,0.242788,0.1437634,0.1793282,0.09014368,0.1092088
1.338045,1.115276,1.115275737,0.759199972,0.2859035,0.2859035,0.3345062,0.1518237,0.1562524,0.2894373,0.242788,0.1437634,0.1793282,0.09014368,0.1092088
1.338264,1.115276,1.115275737,0.759199972,0.2859035,0.2859035,0.3345062,0.1518237,0.1562524,0.2841714,0.2373584,0.1437634,0.1793282,0.09014368,0.1092088
1.338481,1.056037,1.056037468,0.763875508,0.2859035,0.2859035,0.3345062,0.1518237,0.1562524,0.2841714,0.2373584,0.1477406,0.1787785,0.09014368,0.1092088
1.338758,1.056037,1.056037468,0.763875508,0.2859035,0.2859035,0.3345062,0.1518237,0.1562524,0.2841714,0.2373584,0.1477406,0.1787785,0.08779364,0.102451
1.422033,1.056037,1.056037468,0.763875508,0.2921592,0.2921592,0.3777985,0.1518237,0.1562524,0.2841714,0.2373584,0.1477406,0.1787785,0.08779364,0.102451
1.42228,1.089315,1.089315274,1.045557976,0.2921592,0.2921592,0.3777985,0.1541972,0.1828056,0.2841714,0.2373584,0.1477406,0.1787785,0.08779364,0.102451
1.439375,1.089315,1.089315274,1.045557976,0.2921592,0.2921592,0.3777985,0.1541972,0.1828056,0.2770444,0.192855,0.1477406,0.1787785,0.08779364,0.102451
1.439635,1.034079,1.034078732,1.113071249,0.2921592,0.2921592,0.3777985,0.1541972,0.1828056,0.2770444,0.192855,0.1516351,0.1732718,0.08779364,0.102451
1.439867,1.034079,1.034078732,1.113071249,0.2921592,0.2921592,0.3777985,0.1541972,0.1828056,0.2770444,0.192855,0.1516351,0.1732718,0.08622657,0.1169553
1.572887,1.034079,1.034078732,1.113071249,0.2981326,0.2981326,0.3861696,0.1541972,0.1828056,0.2770444,0.192855,0.1516351,0.1732718,0.08622657,0.1169553
1.573143,1.064681,1.064680857,1.169114749,0.2981326,0.2981326,0.3861696,0.1564622,0.1873512,0.2770444,0.192855,0.1516351,0.1732718,0.08622657,0.1169553
1.573372,1.064681,1.064680857,1.169114749,0.2981326,0.2981326,0.3861696,0.1564622,0.1873512,0.2701957,0.1870392,0.1516351,0.1732718,0.08622657,0.1169553
1.573589,1.012777,1.012776956,1.237532382,0.2981326,0.2981326,0.3861696,0.1564622,0.1873512,0.2701957,0.1870392,0.1554721,0.168414,0.08622657,0.1169553
1.573799,1.012777,1.012776956,1.237532382,0.2981326,0.2981326,0.3861696,0.1564622,0.1873512,0.2701957,0.1870392,0.1554721,0.168414,0.08486219,0.1164581
1.672374,1.012777,1.012776956,1.237532382,0.303909,0.303909,0.3988968,0.1564622,0.1873512,0.2701957,0.1870392,0.1554721,0.168414,0.08486219,0.1164581
