Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
1.886137,2.616101,2.616100519,2.462549377,0.232735,0.232735,0.255158,0.3010202,0.3110414,0.1584211,0.1784071,0.1861095,0.19821,0.1571846,0.08929249
1.886667,2.616101,2.616100519,2.462549377,0.232735,0.232735,0.255158,0.3010202,0.3110414,0.1592631,0.1851408,0.1861095,0.19821,0.1571846,0.08929249
1.887246,2.522059,2.522059153,2.483730002,0.232735,0.232735,0.255158,0.3010202,0.3110414,0.1592631,0.1851408,0.1895475,0.1973631,0.1571846,0.08929249
1.888161,2.522059,2.522059153,2.483730002,0.232735,0.232735,0.255158,0.3010202,0.3110414,0.1592631,0.1851408,0.1895475,0.1973631,0.1498367,0.09260074
2.273701,2.522059,2.522059153,2.483730002,0.232915,0.232915,0.2421441,0.3010202,0.3110414,0.1592631,0.1851408,0.1895475,0.1973631,0.1498367,0.09260074
2.274518,2.561333,2.561333071,2.592741635,0.232915,0.232915,0.2421441,0.3033549,0.3177939,0.1592631,0.1851408,0.1895475,0.1973631,0.1498367,0.09260074
2.27521,2.561333,2.561333071,2.592741635,0.232915,0.232915,0.2421441,0.3033549,0.3177939,0.1606997,0.1911644,0.1895475,0.1973631,0.1498367,0.09260074
2.275892,2.484396,2.484396542,2.572847926,0.232915,0.232915,0.2421441,0.3033549,0.3177939,0.1606997,0.1911644,0.19246,0.1981246,0.1498367,0.09260074
2.276587,2.484396,2.484396542,2.572847926,0.232915,0.232915,0.2421441,0.3033549,0.3177939,0.1606997,0.1911644,0.19246,0.1981246,0.1429839,0.0928091
2.326693,2.484396,2.484396542,2.572847926,0.2350429,0.2350429,0.2572496,0.3033549,0.3177939,0.1606997,0.1911644,0.19246,0.1981246,0.1429839,0.0928091
2.327036,2.502252,2.502252194,2.480222735,0.2350429,0.2350429,0.2572496,0.3044431,0.312021,0.1606997,0.1911644,0.19246,0.1981246,0.1429839,0.0928091
2.327302,2.502252,2.502252194,2.480222735,0.2350429,0.2350429,0.2572496,0.3044431,0.312021,0.1624948,0.1882446,0.19246,0.1981246,0.1429839,0.0928091
2.327542,2.461056,2.461055798,2.567734781,0.2350429,0.2350429,0.2572496,0.3044431,0.312021,0.1624948,0.1882446,0.1940642,0.1947192,0.1429839,0.0928091
2.327777,2.461056,2.461055798,2.567734781,0.2350429,0.2350429,0.2572496,0.3044431,0.312021,0.1624948,0.1882446,0.1940642,0.1947192,0.1369073,0.09361426
2.328018,2.461056,2.461055798,2.567734781,0.2375778,0.2375778,0.2612961,0.3044431,0.312021,0.1624948,0.1882446,0.1940642,0.1947192,0.1369073,0.09361426
2.328236,2.479152,2.479152334,2.515275838,0.2375778,0.2375778,0.2612961,0.3055604,0.3088173,0.1624948,0.1882446,0.1940642,0.1947192,0.1369073,0.09361426
2.328465,2.479152,2.479152334,2.515275838,0.2375778,0.2375778,0.2612961,0.3055604,0.3088173,0.1642341,0.188046,0.1940642,0.1947192,0.1369073,0.09361426
2.328695,2.443021,2.44302072,2.574611444,0.2375778,0.2375778,0.2612961,0.3055604,0.3088173,0.1642341,0.188046,0.195494,0.1924623,0.1369073,0.09361426
2.328921,2.443021,2.44302072,2.574611444,0.2375778,0.2375778,0.2612961,0.3055604,0.3088173,0.1642341,0.188046,0.195494,0.1924623,0.1307019,0.09521537
2.344041,2.443021,2.44302072,2.574611444,0.2408156,0.2408156,0.2743589,0.3055604,0.3088173,0.1642341,0.188046,0.195494,0.1924623,0.1307019,0.09521537
2.344301,2.453887,2.4538872,2.456534631,0.2408156,0.2408156,0.2743589,0.3062392,0.3016527,0.1642341,0.188046,0.195494,0.1924623,0.1307019,0.09521537
