Time,Focus,Break,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.081167,0.1476979,0.147697903,0.179056877,0.1751305,0.1751305,0.1325198,0.07279415,0.06982525,0.4202486,0.4651186,0.1894128,0.1650126,0.2374013,0.1983128
2.081381,0.1518815,0.151881466,0.176741703,0.1751305,0.1751305,0.1325198,0.07279415,0.06982525,0.4202486,0.4651186,0.1867859,0.1660898,0.2374013,0.1983128
2.081589,0.1518815,0.151881466,0.176741703,0.1751305,0.1751305,0.1325198,0.07279415,0.06982525,0.4202486,0.4651186,0.1867859,0.1660898,0.2339231,0.1976263
2.182163,0.1518815,0.151881466,0.176741703,0.1710703,0.1710703,0.1311835,0.07279415,0.06982525,0.4202486,0.4651186,0.1867859,0.1660898,0.2339231,0.1976263
2.182446,0.1506697,0.150669713,0.1778217,0.1710703,0.1710703,0.1311835,0.07250318,0.07003827,0.4202486,0.4651186,0.1867859,0.1660898,0.2339231,0.1976263
2.182673,0.1506697,0.150669713,0.1778217,0.1710703,0.1710703,0.1311835,0.07250318,0.07003827,0.4247002,0.4657757,0.1867859,0.1660898,0.2339231,0.1976263
2.182907,0.154656,0.154655965,0.173476843,0.1710703,0.1710703,0.1311835,0.07250318,0.07003827,0.4247002,0.4657757,0.184363,0.1681569,0.2339231,0.1976263
2.183129,0.154656,0.154655965,0.173476843,0.1710703,0.1710703,0.1311835,0.07250318,0.07003827,0.4247002,0.4657757,0.184363,0.1681569,0.2304058,0.196969
2.3303,0.154656,0.154655965,0.173476843,0.166721,0.166721,0.1311835,0.07250318,0.07003827,0.4247002,0.4657757,0.184363,0.1681569,0.2304058,0.196969
2.330571,0.1533689,0.153368891,0.173476843,0.166721,0.166721,0.1311835,0.07220086,0.07003827,0.4247002,0.4657757,0.184363,0.1681569,0.2304058,0.196969
2.330793,0.1533689,0.153368891,0.173476843,0.166721,0.166721,0.1311835,0.07220086,0.07003827,0.429311,0.4657757,0.184363,0.1681569,0.2304058,0.196969
2.331015,0.1572763,0.157276329,0.173476843,0.166721,0.166721,0.1311835,0.07220086,0.07003827,0.429311,0.4657757,0.1820584,0.1681569,0.2304058,0.196969
2.331239,0.1572763,0.157276329,0.173476843,0.166721,0.166721,0.1311835,0.07220086,0.07003827,0.429311,0.4657757,0.1820584,0.1681569,0.2268867,0.196969
2.415347,0.1572763,0.157276329,0.173476843,0.1622003,0.1622003,0.1311835,0.07220086,0.07003827,0.429311,0.4657757,0.1820584,0.1681569,0.2268867,0.196969
2.415619,0.1559724,0.155972388,0.173476843,0.1622003,0.1622003,0.1311835,0.07190093,0.07003827,0.429311,0.4657757,0.1820584,0.1681569,0.2268867,0.196969
2.415928,0.1559724,0.155972388,0.173476843,0.1622003,0.1622003,0.1311835,0.07190093,0.07003827,0.4339814,0.4657757,0.1820584,0.1681569,0.2268867,0.196969
2.416165,0.1598037,0.159803692,0.173476843,0.1622003,0.1622003,0.1311835,0.07190093,0.07003827,0.4339814,0.4657757,0.1798627,0.1681569,0.2268867,0.196969
2.416383,0.1598037,0.159803692,0.173476843,0.1622003,0.1622003,0.1311835,0.07190093,0.07003827,0.4339814,0.4657757,0.1798627,0.1681569,0.2233684,0.196969
2.480901,0.1598037,0.159803692,0.173476843,0.1577511,0.1577511,0.1311835,0.07190093,0.07003827,0.4339814,0.4657757,0.1798627,0.1681569,0.2233684,0.196969
2.481208,0.1586534,0.158653407,0.173476843,0.1577511,0.1577511,0.1311835,0.07164169,0.07003827,0.4339814,0.4657757,0.1798627,0.1681569,0.2233684,0.196969
2.48143,0.1586534,0.158653407,0.173476843,0.1577511,0.1577511,0.1311835,0.07164169,0.07003827,0.4384472,0.4657757,0.1798627,0.1681569,0.2233684,0.196969
2.481639,0.1622269,0.162226901,0.173476843,0.1577511,0.1577511,0.1311835,0.07164169,0.07003827,0.4384472,0.4657757,0.1778707,0.1681569,0.2233684,0.196969
2.48186,0.1622269,0.162226901,0.173476843,0.1577511,0.1577511,0.1311835,0.07164169,0.07003827,0.4384472,0.4657757,0.1778707,0.1681569,0.219856,0.196969
2.616258,0.1622269,0.162226901,0.173476843,0.1535835,0.1535835,0.1311835,0.07164169,0.07003827,0.4384472,0.4657757,0.1778707,0.1681569,0.219856,0.196969
2.616528,0.1613276,0.161327598,0.173476843,0.1535835,0.1535835,0.1311835,0.07144284,0.07003827,0.4384472,0.4657757,0.1778707,0.1681569,0.219856,0.196969
2.616748,0.1613276,0.161327598,0.173476843,0.1535835,0.1535835,0.1311835,0.07144284,0.07003827,0.4424589,0.4657757,0.1778707,0.1681569,0.219856,0.196969
2.61697,0.1644793,0.164479304,0.173476843,0.1535835,0.1535835,0.1311835,0.07144284,0.07003827,0.4424589,0.4657757,0.1761583,0.1681569,0.219856,0.196969
2.617185,0.1644793,0.164479304,0.173476843,0.1535835,0.1535835,0.1311835,0.07144284,0.07003827,0.4424589,0.4657757,0.1761583,0.1681569,0.2163514,0.196969
2.699098,0.1644793,0.164479304,0.173476843,0.1495173,0.1495173,0.1311835,0.07144284,0.07003827,0.4424589,0.4657757,0.1761583,0.1681569,0.2163514,0.196969
2.699369,0.1636014,0.163601416,0.173476843,0.1495173,0.1495173,0.1311835,0.07125193,0.07003827,0.4424589,0.4657757,0.1761583,0.1681569,0.2163514,0.196969
2.699587,0.1636014,0.163601416,0.173476843,0.1495173,0.1495173,0.1311835,0.07125193,0.07003827,0.446456,0.4657757,0.1761583,0.1681569,0.2163514,0.196969
2.699897,0.1668103,0.166810319,0.173476843,0.1495173,0.1495173,0.1311835,0.07125193,0.07003827,0.446456,0.4657757,0.1744557,0.1681569,0.2163514,0.196969
2.700126,0.1668103,0.166810319,0.173476843,0.1495173,0.1495173,0.1311835,0.07125193,0.07003827,0.446456,0.4657757,0.1744557,0.1681569,0.2128465,0.196969
2.782165,0.1668103,0.166810319,0.173476843,0.145494,0.145494,0.1311835,0.07125193,0.07003827,0.446456,0.4657757,0.1744557,0.1681569,0.2128465,0.196969
2.782432,0.1659396,0.165939596,0.173476843,0.145494,0.145494,0.1311835,0.07106572,0.07003827,0.446456,0.4657757,0.1744557,0.1681569,0.2128465,0.196969
2.782661,0.1659396,0.165939596,0.173476843,0.145494,0.145494,0.1311835,0.07106572,0.07003827,0.4504561,0.4657757,0.1744557,0.1681569,0.2128465,0.196969
2.782877,0.1692164,0.169216378,0.173476843,0.145494,0.145494,0.1311835,0.07106572,0.07003827,0.4504561,0.4657757,0.1727583,0.1681569,0.2128465,0.196969
2.783089,0.1692164,0.169216378,0.173476843,0.145494,0.145494,0.1311835,0.07106572,0.07003827,0.4504561,0.4657757,0.1727583,0.1681569,0.2093388,0.196969
